?genes_iri	?downRegulated
<http://example.org/onto/individual/ENSMUSG00000032643_CNSOverKidney>	"Fhl3"
<http://example.org/onto/individual/ENSMUSG00000068101_CNSOverKidney>	"Cenpm"
<http://example.org/onto/individual/ENSMUSG00000041688_CNSOverKidney>	"Amot"
<http://example.org/onto/individual/ENSMUSG00000039735_CNSOverKidney>	"Fnbp1l"
<http://example.org/onto/individual/ENSMUSG00000029394_CNSOverKidney>	"Cdk2ap1"
<http://example.org/onto/individual/ENSMUSG00000028927_CNSOverKidney>	"Padi2"
<http://example.org/onto/individual/ENSMUSG00000028041_CNSOverKidney>	"Adam15"
<http://example.org/onto/individual/ENSMUSG00000021265_CNSOverKidney>	"Slc25a29"
<http://example.org/onto/individual/ENSMUSG00000015468_CNSOverKidney>	"Notch4"
<http://example.org/onto/individual/ENSMUSG00000031548_CNSOverKidney>	"Sfrp1"
<http://example.org/onto/individual/ENSMUSG00000023232_CNSOverKidney>	"Serinc2"
<http://example.org/onto/individual/ENSMUSG00000039899_CNSOverKidney>	"Fgl2"
